Epoch 1/100, Train Loss: 115.6736, Val Loss: 6.2346
Epoch 55/100, Train Loss: 0.0799, Val Loss: 0.0502
Epoch 56/100, Train Loss: 0.0068, Val Loss: 0.0038
Epoch 57/100, Train Loss: 0.0019, Val Loss: 0.0059
Epoch 58/100, Train Loss: 0.0168, Val Loss: 0.0081
Epoch 59/100, Train Loss: 0.0305, Val Loss: 0.2061
Epoch 60/100, Train Loss: 0.0412, Val Loss: 0.0125
Epoch 61/100, Train Loss: 0.0076, Val Loss: 0.0061
Epoch 62/100, Train Loss: 0.0081, Val Loss: 0.0347
Epoch 63/100, Train Loss: 0.0647, Val Loss: 0.0171
Epoch 64/100, Train Loss: 0.0126, Val Loss: 0.0376
Epoch 65/100, Train Loss: 0.0061, Val Loss: 0.0179
Epoch 66/100, Train Loss: 0.0276, Val Loss: 0.0049
Epoch 67/100, Train Loss: 0.0353, Val Loss: 0.0046
Epoch 68/100, Train Loss: 0.0329, Val Loss: 0.0253
Epoch 69/100, Train Loss: 0.0166, Val Loss: 0.0050
Epoch 70/100, Train Loss: 0.0046, Val Loss: 0.0074
Epoch 71/100, Train Loss: 0.0308, Val Loss: 0.0152
Epoch 72/100, Train Loss: 0.0714, Val Loss: 0.0747
Epoch 73/100, Train Loss: 0.0092, Val Loss: 0.0038
Epoch 74/100, Train Loss: 0.0038, Val Loss: 0.0373
Epoch 75/100, Train Loss: 0.0163, Val Loss: 0.0090
Epoch 76/100, Train Loss: 0.0210, Val Loss: 0.0753
Epoch 77/100, Train Loss: 0.0281, Val Loss: 0.1045
Epoch 78/100, Train Loss: 0.0387, Val Loss: 0.0087
Epoch 79/100, Train Loss: 0.0067, Val Loss: 0.0072
Epoch 80/100, Train Loss: 0.0037, Val Loss: 0.0069
Epoch 81/100, Train Loss: 0.0435, Val Loss: 0.0223
Epoch 82/100, Train Loss: 0.0089, Val Loss: 0.0067
Epoch 83/100, Train Loss: 0.0133, Val Loss: 0.0412
Epoch 84/100, Train Loss: 0.0367, Val Loss: 0.0118
Epoch 85/100, Train Loss: 0.0087, Val Loss: 0.0072
Epoch 86/100, Train Loss: 0.0256, Val Loss: 0.0126
Epoch 87/100, Train Loss: 0.0238, Val Loss: 0.0386
Epoch 88/100, Train Loss: 0.0318, Val Loss: 0.0600
Epoch 89/100, Train Loss: 0.0393, Val Loss: 0.0044
Epoch 90/100, Train Loss: 0.0025, Val Loss: 0.0047
Epoch 91/100, Train Loss: 0.0071, Val Loss: 0.0143
Epoch 92/100, Train Loss: 0.0180, Val Loss: 0.0037
Epoch 93/100, Train Loss: 0.0239, Val Loss: 0.1264
Epoch 94/100, Train Loss: 0.0335, Val Loss: 0.0014
Epoch 95/100, Train Loss: 0.0099, Val Loss: 0.1114
Epoch 96/100, Train Loss: 0.0148, Val Loss: 0.0011
Epoch 97/100, Train Loss: 0.0072, Val Loss: 0.0292
Epoch 98/100, Train Loss: 0.0553, Val Loss: 0.0175
Epoch 99/100, Train Loss: 0.0041, Val Loss: 0.0013
Epoch 100/100, Train Loss: 0.0034, Val Loss: 0.0038
Test Loss: 0.0037
