,,model,feat_type,network_name,pred_y,y,num_nodes,num_edges,Loss
transitivity,5,gin,identity_feat,ca-GrQc,-117.70709228515624,,5242,28980,
transitivity,6,gin,identity_feat,CSphd,0.7788543701171875,0.0036226415094339,1882,3480,0.7752317286077536
transitivity,7,gin,identity_feat,YeastS,-68.1900634765625,,2361,13828,
transitivity,8,gin,identity_feat,geom,-139.517822265625,0.2404295849822185,7343,23796,139.75825185060722
transitivity,9,gin,identity_feat,netsience,-22.40326690673828,0.6934414148857775,1589,5484,23.09670832162406
transitivity,10,gin,identity_feat,Erdos02,1058.14111328125,,6927,23700,
transitivity,11,gin,identity_feat,karate,0.2991781234741211,,34,156,
transitivity,12,gin,identity_feat,lesmis,-1.1469087600708008,,77,508,
transitivity,13,gin,identity_feat,adjnoun,-1.3566322326660156,0.1569349788174617,112,850,1.5135672114834773
transitivity,14,gin,identity_feat,football,-4.729414939880371,0.4072398190045249,115,1226,5.136654758884896
transitivity,15,gin,identity_feat,dolphins,-1.7355387210845947,,62,318,
transitivity,16,gin,identity_feat,polbooks,-1.8317279815673828,,105,882,
transitivity,17,gin,identity_feat,hep-th,-231.29034423828125,0.3295755803870072,8361,31502,231.61991981866825
transitivity,18,gin,identity_feat,power,-43.31205749511719,,4941,13188,
transitivity,19,gin,identity_feat,CLUSTERDataset,6.855904579162598,0.3155691964285714,117,4104,6.5403353827340265
transitivity,20,gin,identity_feat,PATTERNDataset,4.528987884521484,,108,4884,
transitivity,21,gin,identity_feat,TreeGridDataset,-35.42729949951172,0.0,1231,1705,35.42729949951172
transitivity,22,gin,identity_feat,TreeCycleDataset,-37.50188827514648,,871,966,
kurtosis,0,gin,identity_feat,facebook_combined,-205.05172729492188,3.4025756825551685,4039,88234,208.45430297747706
kurtosis,1,gin,identity_feat,wiki-Vote,-634.177978515625,228.31866051189024,7115,103689,862.4966390275152
kurtosis,2,gin,identity_feat,email-Eu-core,-270.7428894042969,,1005,25571,
kurtosis,3,gin,identity_feat,p2p-Gnutella04,-1019.7175903320312,17.980163509649334,10876,39994,1037.6977538416807
kurtosis,4,gin,identity_feat,p2p-Gnutella08,-644.6411743164062,27.740555063127783,6301,20777,672.381729379534
kurtosis,5,gin,identity_feat,ca-GrQc,-2119.00341796875,,5242,28980,
kurtosis,6,gin,identity_feat,CSphd,-273.0063781738281,13.98430533525062,1882,3480,286.99068350907874
kurtosis,7,gin,identity_feat,YeastS,-926.139892578125,,2361,13828,
kurtosis,8,gin,identity_feat,geom,-2472.70458984375,16.87922056918647,7343,23796,2489.5838104129366
kurtosis,9,gin,identity_feat,netsience,-219.80661010742188,1.428629431697531,1589,5484,221.23523953911942
kurtosis,10,gin,identity_feat,Erdos02,-2260.9228515625,,6927,23700,
kurtosis,11,gin,identity_feat,karate,-2.182478666305542,,34,156,
kurtosis,12,gin,identity_feat,lesmis,-24.309356689453125,,77,508,
kurtosis,13,gin,identity_feat,adjnoun,-40.65218734741211,-1.2930999389375115,112,850,39.3590874084746
kurtosis,14,gin,identity_feat,football,-26.60250473022461,0.1150083860963278,115,1226,26.717513116320937
kurtosis,15,gin,identity_feat,dolphins,-13.60117530822754,,62,318,
kurtosis,16,gin,identity_feat,polbooks,-27.922473907470703,,105,882,
kurtosis,17,gin,identity_feat,hep-th,-3046.134765625,6.039269052549367,8361,31502,3052.1740346775496
kurtosis,18,gin,identity_feat,power,-963.0076904296876,,4941,13188,
kurtosis,19,gin,identity_feat,CLUSTERDataset,-10.47206974029541,-0.8451685513163567,117,4104,9.626901188979053
kurtosis,20,gin,identity_feat,PATTERNDataset,-4.62064266204834,,108,4884,
kurtosis,21,gin,identity_feat,TreeGridDataset,-101.39254760742188,-0.4358060015164362,1231,1705,100.95674160590544
kurtosis,22,gin,identity_feat,TreeCycleDataset,-85.29811096191406,,871,966,
average_path,0,gin,identity_feat,facebook_combined,155.61553955078125,0.6416961550712585,4039,88234,154.97384339571
average_path,1,gin,identity_feat,wiki-Vote,209.48263549804688,-0.0267103090882301,7115,103689,209.5093458071351
average_path,2,gin,identity_feat,email-Eu-core,34.216949462890625,,1005,25571,
average_path,3,gin,identity_feat,p2p-Gnutella04,43.10499954223633,2.440983533859253,10876,39994,40.664016008377075
average_path,4,gin,identity_feat,p2p-Gnutella08,213.2850799560547,1.939025402069092,6301,20777,211.3460545539856
average_path,5,gin,identity_feat,ca-GrQc,1013.7792358398438,,5242,28980,
average_path,6,gin,identity_feat,CSphd,619.9650268554688,2.795812129974365,1882,3480,617.1692147254944
average_path,7,gin,identity_feat,YeastS,750.0282592773438,,2361,13828,
average_path,8,gin,identity_feat,geom,1498.2908935546875,0.5358964800834656,7343,23796,1497.754997074604
average_path,9,gin,identity_feat,netsience,301.53271484375,-0.5882420539855957,1589,5484,302.1209568977356
average_path,10,gin,identity_feat,Erdos02,2362.86328125,,6927,23700,
average_path,11,gin,identity_feat,karate,5.074726581573486,,34,156,
average_path,12,gin,identity_feat,lesmis,8.448111534118652,,77,508,
average_path,13,gin,identity_feat,adjnoun,14.623050689697266,2.535553455352783,112,850,12.087497234344482
average_path,14,gin,identity_feat,football,4.27839469909668,2.508161783218384,115,1226,1.770232915878296
average_path,15,gin,identity_feat,dolphins,8.082452774047852,,62,318,
average_path,16,gin,identity_feat,polbooks,18.824626922607425,,105,882,
average_path,17,gin,identity_feat,hep-th,1745.2901611328125,2.9091835021972656,8361,31502,1742.3809776306152
average_path,18,gin,identity_feat,power,1146.91357421875,,4941,13188,
average_path,19,gin,identity_feat,CLUSTERDataset,8.462916374206543,1.697612762451172,117,4104,6.765303611755371
average_path,20,gin,identity_feat,PATTERNDataset,5.699358940124512,,108,4884,
average_path,21,gin,identity_feat,TreeGridDataset,33.26492691040039,-0.9643332958221436,1231,1705,34.229260206222534
average_path,22,gin,identity_feat,TreeCycleDataset,20.27052116394043,,871,966,
